City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kununurra,48,1552172400,100,-15.77,128.74,78.8,3.36
Tendukheda,0,1552173360,57,23.4,79.54,56.78,3.38
Hermanus,64,1552173342,82,-34.42,19.24,69.01,4.0
Castro,0,1552172400,52,-42.48,-73.76,64.4,5.82
Alofi,92,1552168800,70,-19.06,-169.92,86.0,12.75
Troitsko-Pechorsk,92,1552173371,91,62.71,56.19,31.49,7.18
Lagoa,0,1552173371,67,37.14,-8.45,60.01,5.82
Tevaitoa,8,1552173374,99,-16.78,-151.5,84.41,8.97
Amahai,92,1552173376,100,-3.31,129.0,76.08,15.79
Bambous Virieux,20,1552173248,88,-20.34,57.76,75.99,3.36
Ribeira Grande,100,1552173379,95,38.52,-28.7,62.09,9.19
Provideniya,76,1552173380,100,64.42,-173.23,23.48,32.35
Hobart,75,1552173375,72,-42.88,147.33,69.01,5.82
Rikitea,88,1552173382,100,-23.12,-134.97,77.07,12.44
Aranos,0,1552173388,25,-24.14,19.11,71.36,10.42
Arraial do Cabo,0,1552173389,90,-22.97,-42.02,80.76,13.44
Vila Franca do Campo,75,1552173332,82,37.72,-25.43,60.8,1.12
Aanekoski,80,1552172966,92,62.6,25.73,27.0,2.24
Cape Town,0,1552173363,72,-33.93,18.42,66.2,14.99
Georgetown,20,1552172400,78,6.8,-58.16,80.6,11.41
Bluff,0,1552173398,59,-23.58,149.07,83.06,5.17
Vao,92,1552173399,96,59.1,26.19,32.97,7.63
Lebu,0,1552173400,85,8.96,38.73,47.6,5.28
Henties Bay,0,1552172581,85,-22.12,14.28,61.0,1.01
Puerto Ayora,20,1552172400,69,-0.74,-90.35,80.6,10.29
Korem,80,1552173404,84,12.51,39.52,59.61,1.81
Simpang,75,1552168800,88,4.82,100.71,77.0,3.36
Goianesia,0,1552173408,80,-15.32,-49.12,73.11,4.72
Bredasdorp,80,1552173396,68,-34.53,20.04,69.8,12.75
Roebourne,0,1552173411,39,-20.77,117.15,86.3,4.61
Tuy Hoa,32,1552173344,99,13.08,109.3,73.88,4.72
Yellowknife,90,1552173212,78,62.45,-114.38,10.0,11.41
Saint-Philippe,1,1552172160,49,45.36,-73.48,28.4,5.82
Bilibino,24,1552173418,74,68.06,166.44,-1.05,3.15
Mataura,12,1552173007,77,-46.19,168.86,60.01,8.99
Pirae,75,1552173195,70,-17.52,-149.53,84.2,1.12
Albany,1,1552173155,31,42.65,-73.75,39.99,3.36
Hambantota,12,1552173425,100,6.12,81.12,77.7,4.38
Hilo,90,1552173402,83,19.71,-155.08,72.0,13.87
Mar del Plata,0,1552173429,74,-46.43,-67.52,58.49,6.17
Portland,20,1552172574,43,45.52,-122.67,50.0,10.29
Mount Gambier,40,1552168800,82,-37.83,140.78,59.0,8.05
Khargapur,0,1552173433,61,24.82,79.14,60.06,3.6
Oriximina,0,1552173434,95,-1.77,-55.87,77.21,3.71
Seoul,1,1552171800,44,37.57,126.98,44.6,3.36
Punta Arenas,75,1552173199,66,-53.16,-70.91,55.4,24.16
Khatanga,80,1552173438,71,71.98,102.47,-10.73,8.86
Clyde River,20,1552168800,75,70.47,-68.59,-16.61,5.82
Maltahohe,0,1552173441,69,-24.83,16.98,55.25,7.63
Guaira,48,1552173442,74,-24.09,-54.26,79.77,10.76
Lorengau,76,1552173444,100,-2.02,147.27,81.93,9.42
Busselton,56,1552173394,66,-33.64,115.35,64.0,13.44
Katsuura,75,1552172084,87,33.93,134.5,51.01,3.36
Cockburn Town,44,1552173280,97,21.46,-71.14,78.06,19.71
Ushuaia,75,1552172400,76,-54.81,-68.31,55.4,23.04
Cherskiy,64,1552173450,73,68.75,161.3,0.26,2.37
Conneaut,1,1552173434,64,41.95,-80.55,45.0,9.17
Saskylakh,80,1552173452,79,71.97,114.09,-4.97,6.62
Airai,68,1552173454,69,-8.93,125.41,73.7,0.81
Marystown,0,1552173053,100,47.17,-55.16,27.0,18.03
New Norfolk,75,1552173316,72,-42.78,147.06,69.01,5.82
Jamestown,32,1552173430,40,-33.21,138.6,81.93,6.96
Lompoc,75,1552173340,62,34.64,-120.46,57.99,14.99
Touros,20,1552172400,83,-5.2,-35.46,80.6,12.75
Bethel,90,1552172160,64,60.79,-161.76,39.2,17.22
Nanortalik,24,1552173467,92,60.14,-45.24,25.23,0.92
Tuktoyaktuk,90,1552168800,78,69.44,-133.03,17.6,9.17
Pemberton,76,1552173235,94,-34.44,116.03,60.01,8.19
Longyearbyen,90,1552171800,77,78.22,15.63,6.8,2.24
Fomboni,68,1552173475,100,-12.28,43.74,82.83,14.67
Barrow,0,1552173476,53,-38.31,-60.23,54.53,7.96
Gulaothi,0,1552170600,63,28.6,77.78,60.8,5.82
Tura,32,1552173479,78,25.52,90.21,55.25,3.71
Namibe,8,1552173482,100,-15.19,12.15,77.97,8.75
Constitucion,90,1552173015,11,23.99,-104.67,78.8,14.99
Vaini,0,1552173489,73,15.34,74.49,62.76,4.16
Kaitangata,48,1552173490,82,-46.28,169.85,57.9,17.25
Luba,92,1552173492,78,17.32,120.7,74.73,3.71
Harper,1,1552173331,16,30.3,-99.24,80.6,9.17
Beringovskiy,76,1552173495,97,63.05,179.32,10.38,30.56
Fukue,75,1552173312,81,35.03,136.69,51.01,5.82
Sept-Iles,5,1552168800,34,50.2,-66.38,21.2,9.17
Kapaa,40,1552173383,69,22.08,-159.32,78.8,20.8
Chapais,1,1552168800,40,49.78,-74.86,14.0,3.36
Margate,75,1552173495,72,-43.03,147.26,69.01,5.82
Zhaotong,92,1552173508,98,27.34,103.71,34.01,2.37
Alugan,48,1552173510,98,12.22,125.48,77.21,4.38
Nikolskoye,20,1552173335,74,59.7,30.79,36.0,8.95
Yulara,0,1552172400,8,-25.24,130.99,87.8,11.41
Sarangani,44,1552173516,95,5.4,125.46,80.99,7.63
Narsaq,12,1552171800,63,60.91,-46.05,30.2,2.24
Fairbanks,40,1552173247,41,64.84,-147.72,42.01,8.05
Mago,24,1552173522,56,53.27,140.15,21.45,6.29
Isangel,75,1552168800,70,-19.55,169.27,86.0,6.93
Codrington,32,1552173441,61,-28.95,153.24,82.4,10.29
Ilulissat,8,1552171800,78,69.22,-51.1,12.2,8.05
Ruthin,0,1552173468,81,53.11,-3.31,43.0,8.05
Haverfordwest,92,1552173432,93,51.8,-4.97,46.99,10.29
Carnarvon,0,1552173533,78,-30.97,22.13,50.3,4.38
Elizabeth City,90,1552173443,75,36.3,-76.22,46.4,11.41
Bronnoysund,76,1552171800,62,65.46,12.2,21.2,5.82
Sturgeon Bay,1,1552173394,51,44.83,-87.38,36.0,12.75
Nantucket,1,1552173371,55,41.28,-70.1,36.0,5.82
Ancud,0,1552172400,52,-41.87,-73.83,64.4,5.82
Nyurba,8,1552173546,61,63.29,118.35,9.21,5.95
Arvika,92,1552172172,100,59.65,12.59,28.0,6.93
Jalu,8,1552173550,46,29.03,21.55,55.16,6.96
Lavrentiya,68,1552173552,99,65.58,-170.99,23.43,34.36
San Patricio,56,1552173555,81,-26.98,-56.83,72.57,8.19
Ligayan,88,1552173557,100,4.65,119.47,79.73,4.72
Ponta do Sol,12,1552173559,79,-20.63,-46.0,72.48,5.73
General Roca,0,1552172400,31,-39.03,-67.58,75.2,11.41
Qaanaaq,48,1552173562,97,77.48,-69.36,-9.42,2.15
San Cristobal,40,1552173412,68,-0.39,-78.55,66.2,11.41
Nuevo Progreso,1,1552173529,52,26.05,-97.95,93.2,14.99
Prado,0,1552173567,92,-17.34,-39.22,83.96,15.46
Dingle,0,1552173569,81,11.0,122.67,78.29,4.38
Bang Saphan,12,1552173570,90,11.21,99.51,75.41,4.94
Mayo,20,1552168800,48,63.59,-135.9,17.6,3.36
Atar,0,1552173573,31,20.52,-13.05,58.62,7.07
Siniscola,0,1552170000,62,40.57,9.69,55.4,20.8
Aklavik,90,1552168800,73,68.22,-135.01,24.8,6.93
Port Blair,0,1552173580,100,11.67,92.75,80.58,11.77
Omboue,64,1552173585,100,-1.57,9.26,78.6,1.59
Boende,36,1552173587,83,-0.28,20.88,74.82,2.71
Husavik,64,1552173575,78,50.56,-96.99,28.0,7.0
Ranavav,36,1552173592,83,21.69,69.74,67.94,4.38
Srednekolymsk,68,1552173593,68,67.46,153.71,-1.68,3.27
Mehamn,36,1552173595,84,71.03,27.85,22.35,11.65
Thompson,75,1552168800,78,55.74,-97.86,15.8,9.17
Shubarshi,36,1552173598,85,48.59,57.19,23.7,10.98
Klaksvik,44,1552171800,100,62.23,-6.59,32.0,24.07
Lagunas,48,1552173603,94,-5.23,-75.68,77.25,2.04
Brasilia de Minas,56,1552173604,62,-16.21,-44.43,77.7,7.29
Kostomuksha,12,1552173606,72,64.59,30.6,18.03,7.4
Tasiilaq,20,1552171800,66,65.61,-37.64,15.8,4.7
Bathsheba,20,1552172400,78,13.22,-59.52,77.0,14.99
Atuona,24,1552173612,100,-9.8,-139.03,82.47,15.57
Road Town,40,1552173541,69,18.42,-64.62,78.8,9.17
Ivdel,56,1552173616,84,60.7,60.42,29.1,9.98
Naze,68,1552173618,94,5.43,7.07,74.78,3.04
Avarua,100,1552170600,74,-21.21,-159.78,86.0,10.29
Northampton,92,1552173616,75,52.24,-0.9,45.0,9.17
Babai,56,1552172400,93,49.9,36.2,35.6,6.71
Pokhara,0,1552173626,71,28.21,83.99,35.18,2.15
Ca Mau,76,1552173424,91,9.18,105.15,78.29,5.5
Leningradskiy,24,1552173629,85,69.38,178.42,-2.85,4.38
Saldanha,0,1552173632,81,41.42,-6.55,40.85,3.71
Saint George,0,1552168200,61,39.45,22.34,48.2,5.95
Bulawayo,0,1552173635,90,-20.16,28.59,60.33,5.73
Faanui,80,1552173637,100,-16.48,-151.75,84.36,9.86
Haguenau,64,1552173624,76,48.82,7.79,55.0,12.75
Poykovskiy,40,1552170600,68,61.23,73.33,26.6,8.95
East London,100,1552173398,100,-33.02,27.91,68.93,19.04
Upernavik,20,1552173644,100,72.79,-56.15,2.01,17.69
Saquena,76,1552173646,97,-4.67,-73.52,74.1,2.59
Kenai,90,1552173496,64,60.55,-151.26,39.2,10.29
Botwood,40,1552173359,79,49.14,-55.34,21.2,8.05
Hithadhoo,8,1552173652,100,-0.6,73.08,83.33,8.3
Adrar,0,1552168800,18,27.87,-0.29,69.8,19.46
Rawson,0,1552173420,21,-43.3,-65.11,69.15,7.63
Kirakira,24,1552173659,100,-10.46,161.92,81.48,4.94
Port Alfred,100,1552173415,85,-33.59,26.89,66.99,5.01
Okato,12,1552173265,59,-39.19,173.88,72.0,5.99
Vardo,90,1552173660,74,39.62,-77.74,39.2,5.82
Ixtapa,5,1552173605,78,20.71,-105.21,78.8,11.41
Grande Prairie,20,1552168800,46,55.17,-118.79,30.2,2.71
Taltal,0,1552173675,78,-25.41,-70.49,63.53,1.59
Yar-Sale,92,1552173677,87,66.83,70.83,20.73,15.79
Kavaratti,0,1552173678,100,10.57,72.64,81.3,3.71
Sangar,56,1552173680,66,63.92,127.47,1.83,5.39
Kruisfontein,36,1552173681,93,-34.0,24.73,64.38,13.22
Taggia,0,1552173669,76,43.86,7.85,51.8,9.17
Sao Joao da Barra,0,1552172400,88,-21.64,-41.05,80.6,4.7
Iqaluit,20,1552173174,69,63.75,-68.52,-7.01,16.11
Cidreira,100,1552173690,99,-30.17,-50.22,69.96,14.12
Lakatoro,88,1552173692,94,-16.11,167.42,80.99,5.06
Yakymivka,0,1552173693,91,46.7,35.16,39.27,2.93
Kamenka,8,1552173694,90,53.19,44.05,24.74,4.5
Mahebourg,20,1552173548,88,-20.41,57.7,75.99,3.36
Pevek,32,1552173697,97,69.7,170.27,-5.64,2.93
Sola,90,1552171800,92,62.78,29.36,21.2,4.7
Salalah,0,1552171800,14,17.01,54.1,78.8,9.17
Mubi,0,1552173704,52,10.27,13.26,68.7,3.27
Zhuzhou,90,1552172400,93,27.84,113.15,44.6,2.24
Butaritari,92,1552173706,100,3.07,172.79,76.62,6.96
Torbay,75,1552173518,79,47.66,-52.73,28.0,16.11
Gigmoto,20,1552173709,100,13.78,124.39,77.52,5.17
Arlit,56,1552173710,39,18.74,7.39,69.2,3.49
Stroitel,36,1552173712,61,52.65,41.45,18.03,6.62
Thunder Bay,90,1552173442,86,48.41,-89.26,32.0,18.34
Ribas do Rio Pardo,44,1552173715,70,-20.45,-53.76,79.32,6.17
Winnemucca,90,1552173390,44,40.97,-117.74,39.2,4.7
Punta Umbria,0,1552173718,79,37.18,-6.97,54.48,1.36
Itarema,32,1552173719,95,-2.92,-39.92,76.13,6.4
Kandava,92,1552173720,99,57.04,22.77,35.81,18.81
Ribeira Brava,20,1552173674,72,32.65,-17.07,60.8,19.46
Eureka,75,1552173443,100,40.8,-124.16,51.01,5.82
Chuy,92,1552173725,99,-33.69,-53.46,66.05,13.89
Hay River,75,1552172400,67,60.82,-115.79,23.0,9.17
Westport,68,1552173492,87,53.8,-9.52,41.0,8.63
Severo-Kurilsk,68,1552173732,100,50.68,156.12,26.76,5.95
Fare,8,1552173734,99,-16.7,-151.02,84.41,8.97
Kirgiz-Miyaki,92,1552173735,96,53.63,54.8,32.97,14.67
Port Elizabeth,1,1552173719,86,39.31,-74.98,45.0,6.93
Imbituba,75,1552172400,78,-28.24,-48.67,77.0,17.22
Vanavara,64,1552173745,64,60.35,102.28,14.48,12.21
Belmonte,0,1552173748,81,40.36,-7.35,40.49,2.59
Vengerovo,0,1552173749,75,55.68,76.74,11.73,11.65
Chumikan,0,1552173751,60,54.72,135.31,24.83,13.44
Ewa Beach,90,1552173736,57,21.32,-158.01,80.6,11.41
Egvekinot,32,1552173473,76,66.32,-179.17,-1.68,6.4
Meshcherino,0,1552172489,68,55.2,38.36,34.0,6.71
Komsomolskiy,92,1552173756,84,67.55,63.78,17.58,12.33
Tagbac,90,1552168800,100,7.09,125.16,75.2,4.7
Ambon,90,1552173752,100,47.55,-2.56,53.6,14.99
Goderich,36,1552173535,61,43.74,-81.71,34.0,4.0
Kahului,40,1552173669,51,20.89,-156.47,80.6,19.46
Grand Gaube,20,1552173548,88,-20.01,57.66,75.99,3.36
Qidong,92,1552173618,92,31.81,121.66,48.99,5.01
Vestmannaeyjar,88,1552173768,100,63.44,-20.27,32.21,1.92
Mezen,92,1552173771,99,65.85,44.24,28.92,2.71
Kathua,0,1552173772,62,32.38,75.52,41.97,3.49
Soure,20,1552173442,100,40.06,-8.63,55.99,3.36
Great Yarmouth,88,1552173754,70,52.61,1.73,46.0,9.17
Manglaur,0,1552173778,82,29.79,77.88,44.85,2.59
Valleyview,12,1552173781,74,55.07,-117.28,28.38,3.38
Opelousas,90,1552173733,83,30.53,-92.08,75.2,8.05
Esperance,20,1552173608,61,10.24,-61.45,82.4,14.99
Cabo San Lucas,20,1552173406,34,22.89,-109.91,80.6,13.87
Lakes Entrance,8,1552172404,52,-37.88,147.99,73.0,8.01
Tabuk,12,1552173795,83,17.41,121.44,69.42,2.71
Lata,0,1552173796,74,30.78,78.62,32.43,2.59
Oranjemund,92,1552173798,94,-28.55,16.43,62.9,13.22
Izumo,0,1552168800,81,35.37,132.75,51.8,2.24
Sanming,92,1552173802,100,26.24,117.6,49.53,2.59
Chokurdakh,76,1552173803,83,70.62,147.9,-5.46,3.71
Tingo Maria,68,1552173805,98,-9.29,-76.01,65.33,0.81
Hirara,75,1552169820,94,24.8,125.28,69.8,16.11
Kosh-Agach,20,1552173808,62,49.99,88.66,-4.83,3.94
Aloleng,24,1552173810,93,16.13,119.78,78.2,1.92
Bosaso,80,1552173811,100,11.28,49.18,77.48,5.61
Sisimiut,64,1552173814,81,66.94,-53.67,7.1,1.03
Dormidontovka,0,1552173815,63,47.77,134.91,25.1,6.4
Kharp,80,1552173817,72,66.82,65.8,12.05,2.71
Kango,80,1552173818,96,0.19,10.1,72.57,2.93
Ilo,0,1552173820,85,-17.65,-71.34,68.16,2.82
Tete,40,1552172400,100,-16.16,33.59,73.0,3.36
Salinopolis,80,1552173786,100,-0.61,-47.36,77.52,6.17
Mao,40,1552173659,65,19.55,-71.08,81.0,18.34
Kodiak,90,1552173807,94,39.95,-94.76,39.2,25.28
Kashmor,48,1552173836,73,28.43,69.58,59.07,4.61
Kiama,75,1552173437,64,-34.67,150.86,77.0,4.7
Kainantu,64,1552173839,91,-6.29,145.87,69.51,1.59
Ahuimanu,75,1552173791,69,21.44,-157.84,80.6,12.75
Lubao,20,1552173811,88,14.94,120.6,75.99,2.24
Boa Vista,0,1552172400,38,2.82,-60.67,89.6,8.05
Pochutla,40,1552173393,66,15.74,-96.47,86.0,6.4
Tarko-Sale,80,1552173850,90,64.92,77.78,20.15,15.46
Meulaboh,76,1552173852,100,4.14,96.13,77.21,3.83
Forio,40,1552173844,81,40.73,13.86,57.0,3.36
Sao Filipe,0,1552173857,93,14.9,-24.5,71.54,16.69
Shelburne,1,1552173842,46,44.08,-80.2,30.99,12.75
La Asuncion,56,1552173860,73,-1.64,-78.74,52.77,0.69
Luderitz,0,1552173861,80,-26.65,15.16,60.96,20.04
Iquitos,75,1552172400,83,-3.75,-73.25,80.6,6.93
Matara,76,1552173865,67,-13.74,-72.9,51.42,1.92
Correntina,56,1552173867,46,-13.34,-44.63,82.88,4.94
Millinocket,1,1552173603,32,45.66,-68.71,23.0,3.36
Xinqing,0,1552173871,33,48.28,129.53,25.41,5.39
Rovaniemi,90,1552171800,92,66.5,25.72,17.6,2.24
San Clemente,1,1552173644,71,33.43,-117.61,61.0,11.41
Maniitsoq,48,1552173847,76,65.42,-52.9,10.88,8.19
Bereznik,88,1552173880,89,62.86,42.71,26.76,10.98
Turukhansk,56,1552173882,77,65.8,87.96,6.83,9.64
Beatrice,90,1552173624,80,40.27,-96.75,36.0,26.4
Port-Cartier,5,1552168800,34,50.03,-66.88,21.2,9.17
Sevojno,0,1552170600,65,43.85,19.9,44.6,12.75
Ordzhonikidze,0,1552173890,94,44.96,35.36,44.4,4.94
North Bend,1,1552173620,58,43.41,-124.22,54.0,14.99
Tateyama,75,1552173594,53,36.66,137.31,57.0,8.05
Jasper,88,1552173641,100,33.83,-87.28,73.0,14.45
Aitape,80,1552173899,100,-3.15,142.36,76.94,3.94
Crossville,90,1552173656,93,35.95,-85.03,60.01,11.41
Saquisili,75,1552173412,63,-0.83,-78.67,60.8,16.11
Gorontalo,68,1552173769,79,0.54,123.06,78.06,1.92
Edd,0,1552173905,92,13.93,41.69,64.88,2.37
